,id,first_reviewer_discarded,second_reviewer_discarded
302,1184,TRUE,TRUE
303,650,TRUE,FALSE
304,291,TRUE,FALSE
305,210,TRUE,FALSE
306,1016,TRUE,FALSE
307,1361,TRUE,FALSE
308,767,TRUE,FALSE
309,298,TRUE,TRUE
310,81,FALSE,FALSE
311,244,TRUE,FALSE
312,602,TRUE,FALSE
313,468,TRUE,FALSE
314,954,TRUE,TRUE
315,1218,TRUE,TRUE
316,800,TRUE,TRUE
317,1100,TRUE,FALSE
318,1495,TRUE,TRUE
319,204,TRUE,TRUE
320,1021,TRUE,FALSE
321,1436,TRUE,TRUE
322,347,TRUE,TRUE
323,1409,TRUE,TRUE
324,179,TRUE,TRUE
325,686,TRUE,TRUE
326,1455,TRUE,TRUE
327,297,TRUE,FALSE
328,361,TRUE,FALSE
329,1173,TRUE,FALSE
330,974,TRUE,FALSE
331,1387,TRUE,TRUE
332,402,TRUE,TRUE
333,472,TRUE,TRUE
334,643,TRUE,TRUE
335,1406,TRUE,FALSE
336,889,TRUE,FALSE
337,1401,TRUE,FALSE
338,89,FALSE,FALSE
339,373,TRUE,FALSE
340,723,TRUE,TRUE
341,327,TRUE,FALSE
342,1121,TRUE,TRUE
343,1177,TRUE,FALSE
344,109,FALSE,FALSE
345,884,TRUE,TRUE
346,1222,TRUE,TRUE
347,1323,TRUE,TRUE
348,1097,TRUE,FALSE
349,199,TRUE,TRUE
350,1358,TRUE,FALSE
351,369,TRUE,FALSE
352,441,TRUE,TRUE
353,339,TRUE,TRUE
354,1178,TRUE,FALSE
355,1011,TRUE,FALSE
356,757,TRUE,TRUE
357,254,TRUE,TRUE
358,377,TRUE,TRUE
359,1360,TRUE,FALSE
360,1497,TRUE,TRUE
361,952,TRUE,TRUE
362,78,FALSE,FALSE
363,1356,TRUE,FALSE
364,994,TRUE,FALSE
365,1399,TRUE,TRUE
366,852,TRUE,TRUE
367,865,TRUE,TRUE
368,1394,TRUE,FALSE
369,1061,TRUE,FALSE
370,1417,TRUE,TRUE
371,1,TRUE,TRUE
372,1206,TRUE,FALSE
373,517,TRUE,TRUE
374,106,FALSE,FALSE
375,1200,TRUE,TRUE
376,178,TRUE,TRUE
377,1392,TRUE,FALSE
378,1310,TRUE,TRUE
379,370,TRUE,FALSE
380,71,FALSE,FALSE
381,684,TRUE,FALSE
382,267,TRUE,FALSE
383,1156,TRUE,FALSE
384,1205,TRUE,TRUE
385,396,TRUE,FALSE
386,1395,TRUE,TRUE
387,162,TRUE,FALSE
388,511,TRUE,TRUE
389,1472,TRUE,FALSE
390,132,FALSE,FALSE
391,582,TRUE,FALSE
392,1095,TRUE,TRUE
393,916,TRUE,FALSE
394,1466,TRUE,FALSE
395,863,TRUE,TRUE
396,399,TRUE,TRUE
397,1052,TRUE,TRUE
398,737,TRUE,FALSE
399,583,TRUE,FALSE
400,615,TRUE,FALSE
401,452,TRUE,FALSE
402,830,TRUE,FALSE
403,98,TRUE,TRUE
404,1400,TRUE,FALSE
405,1482,TRUE,FALSE
406,744,TRUE,TRUE
407,1340,TRUE,TRUE
408,490,TRUE,TRUE
409,590,TRUE,FALSE
410,82,FALSE,FALSE
411,763,TRUE,FALSE
412,119,FALSE,FALSE
413,306,TRUE,FALSE
414,480,TRUE,FALSE
415,860,TRUE,TRUE
416,338,TRUE,TRUE
417,1066,TRUE,FALSE
418,412,TRUE,TRUE
419,79,FALSE,FALSE
420,1470,TRUE,FALSE
421,950,TRUE,TRUE
422,812,TRUE,FALSE
423,1159,TRUE,TRUE
424,131,FALSE,FALSE
425,17,TRUE,FALSE
426,212,FALSE,FALSE
427,1116,TRUE,FALSE
428,907,TRUE,TRUE
429,1070,TRUE,FALSE
430,1147,TRUE,FALSE
431,1469,TRUE,TRUE
432,353,TRUE,FALSE
433,813,TRUE,FALSE
434,515,TRUE,TRUE
435,1164,TRUE,FALSE
436,574,TRUE,FALSE
437,1245,TRUE,TRUE
438,1335,TRUE,FALSE
439,616,TRUE,FALSE
440,1211,TRUE,TRUE
441,1344,TRUE,FALSE
442,1393,TRUE,FALSE
443,333,TRUE,FALSE
444,1230,TRUE,TRUE
445,1496,TRUE,TRUE
446,956,TRUE,FALSE
447,395,TRUE,TRUE
448,216,TRUE,FALSE
449,1423,TRUE,FALSE
450,666,TRUE,FALSE
451,45,FALSE,FALSE
452,1294,TRUE,FALSE
453,958,TRUE,TRUE
454,1297,TRUE,FALSE
455,1419,TRUE,TRUE
456,1103,TRUE,FALSE
457,1303,TRUE,FALSE
458,221,TRUE,TRUE
459,430,TRUE,TRUE
460,102,FALSE,FALSE
461,1292,TRUE,FALSE
462,158,TRUE,FALSE
463,499,TRUE,FALSE
464,915,TRUE,FALSE
465,1093,TRUE,TRUE
466,16,TRUE,FALSE
467,1180,TRUE,FALSE
468,1418,TRUE,TRUE
469,1318,TRUE,TRUE
470,371,TRUE,FALSE
471,1442,TRUE,FALSE
